country,sectorName,year,pollutantName,value,unit
Germany,Adipic acid production,1990,NOx,0.0907878,kt
Germany,Agriculture other (please specify in the IIR),1990,NOx,7.87741e-05,kt
Germany,Agriculture/Forestry/Fishing: National fishing,1990,NOx,0.38163,kt
Germany,Agriculture/Forestry/Fishing: National fishing,1990,SOx,0.185788,kt
Germany,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1990,NOx,64.2882,kt
Germany,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1990,SOx,5.7577,kt
Germany,Agriculture/Forestry/Fishing: Stationary,1990,NOx,6.11248,kt
Germany,Agriculture/Forestry/Fishing: Stationary,1990,SOx,51.9042,kt
Germany,Aluminium production,1990,NOx,0.740251,kt
Germany,Aluminium production,1990,SOx,4.81163,kt
Germany,Ammonia production,1990,NOx,2.70466,kt
Germany,Animal manure applied to soils,1990,NOx,45.9399,kt
Germany,Cement production,1990,NOx,37.5793,kt
Germany,Cement production,1990,SOx,8.88973,kt
Germany,Chemical industry: Other (please specify in the IIR),1990,SOx,53.9285,kt
Germany,Commercial/Institutional: Mobile,1990,NOx,10.439,kt
Germany,Commercial/Institutional: Mobile,1990,SOx,0.534238,kt
Germany,Commercial/Institutional: Stationary,1990,NOx,47.3609,kt
Germany,Commercial/Institutional: Stationary,1990,SOx,360.292,kt
Germany,Copper production,1990,SOx,2.9376,kt
Germany,Cremation,1990,NOx,0.139687,kt
Germany,Cremation,1990,SOx,0.0191329,kt
Germany,Domestic aviation LTO (civil),1990,NOx,2.59655,kt
Germany,Domestic aviation LTO (civil),1990,SOx,0.174471,kt
Germany,Domestic aviation cruise (civil),1990,NOx,7.08305,kt
Germany,Domestic aviation cruise (civil),1990,SOx,0.406776,kt
Germany,Forest fires,1990,SOx,0.0541238,kt
Germany,Forest fires,1990,NOx,0.225516,kt
Germany,Fugitive emission from solid fuels: Solid fuel transformation,1990,SOx,38.1868,kt
Germany,Fugitive emission from solid fuels: Solid fuel transformation,1990,NOx,0.35,kt
Germany,"Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",1990,NOx,0.0671528,kt
Germany,"Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",1990,SOx,0.00504,kt
Germany,Fugitive emissions oil: Refining and storage,1990,NOx,0.238043,kt
Germany,Fugitive emissions oil: Refining and storage,1990,SOx,5.17992,kt
Germany,Glass production,1990,NOx,30.8982,kt
Germany,Glass production,1990,SOx,13.518,kt
Germany,Inorganic N-fertilizers (includes also urea application),1990,NOx,86.5346,kt
Germany,International aviation LTO (civil),1990,NOx,3.65948,kt
Germany,International aviation LTO (civil),1990,SOx,0.243199,kt
Germany,International aviation cruise (civil),1990,NOx,47.3919,kt
Germany,International aviation cruise (civil),1990,SOx,2.97942,kt
Germany,International maritime navigation,1990,NOx,139.186,kt
Germany,International maritime navigation,1990,SOx,107.63,kt
Germany,Iron and steel production,1990,NOx,4.6049,kt
Germany,Iron and steel production,1990,SOx,9.47861,kt
Germany,Lead production,1990,SOx,0.71545,kt
Germany,Lime production,1990,NOx,9.50491,kt
Germany,Lime production,1990,SOx,1.48674,kt
Germany,Manufacture of solid fuels and other energy industries,1990,NOx,107.23,kt
Germany,Manufacture of solid fuels and other energy industries,1990,SOx,538.698,kt
Germany,Manure management - Broilers,1990,NOx,0.00559719,kt
Germany,Manure management - Dairy cattle,1990,NOx,0.892061,kt
Germany,Manure management - Goats,1990,NOx,0.00228047,kt
Germany,Manure management - Horses,1990,NOx,0.231757,kt
Germany,Manure management - Laying hens,1990,NOx,0.0142349,kt
Germany,Manure management - Non-dairy cattle,1990,NOx,0.842685,kt
Germany,Manure management - Other animals (please specify in the IIR),1990,NOx,0.0076906,kt
Germany,Manure management - Other poultry,1990,NOx,0.00282119,kt
Germany,Manure management - Sheep,1990,NOx,0.0400321,kt
Germany,Manure management - Swine,1990,NOx,0.360377,kt
Germany,Manure management - Turkeys,1990,NOx,0.00342668,kt
Germany,Mobile combustion in manufacturing industries and construction (please specify in the IIR),1990,NOx,34.6541,kt
Germany,Mobile combustion in manufacturing industries and construction (please specify in the IIR),1990,SOx,2.6625,kt
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,34.6541,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,795.978,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,2.48532,Gg (1000 tonnes)
