country,year,pollutantName,value,Country Name,Year,Population,GDP_USD,gdp_per_capita
Germany,1990,NOx,6082.2812646082,Germany,1990,79433029.0,1778162195860.0654,22385.677825027487
Germany,1990,SOx,11143.76224512,Germany,1990,79433029.0,1778162195860.0654,22385.677825027487
Germany,1991,NOx,5581.920339188,Germany,1991,80013896.0,1875792575132.587,23443.33508185362
Germany,1991,SOx,8117.19433496,Germany,1991,80013896.0,1875792575132.587,23443.33508185362
Germany,1992,NOx,5236.930369566,Germany,1992,80624598.0,2141377582968.0647,26559.85438796315
Germany,1992,SOx,6626.8914382,Germany,1992,80624598.0,2141377582968.0647,26559.85438796315
Germany,1993,NOx,5094.386314824,Germany,1993,81156363.0,2078954217437.596,25616.65087724047
Germany,1993,SOx,6004.29149868,Germany,1993,81156363.0,2078954217437.596,25616.65087724047
Germany,1994,NOx,4819.905119446,Germany,1994,81438348.0,2215282632276.7266,27201.959355520405
Germany,1994,SOx,5015.80242596,Germany,1994,81438348.0,2215282632276.7266,27201.959355520405
Germany,1995,NOx,4708.316432464,Germany,1995,81678051.0,2593053091306.128,31747.244939844702
Germany,1995,SOx,3669.6117992,Germany,1995,81678051.0,2593053091306.128,31747.244939844702
Germany,1996,NOx,4538.00027926,Germany,1996,81914831.0,2506576553158.305,30599.78910483628
Germany,1996,SOx,3122.4340334,Germany,1996,81914831.0,2506576553158.305,30599.78910483628
Germany,1997,NOx,4411.71491756,Germany,1997,82034771.0,2218790886532.822,27046.95654642373
Germany,1997,SOx,2634.7618047,Germany,1997,82034771.0,2218790886532.822,27046.95654642373
Germany,1998,NOx,4346.75520268,Germany,1998,82047195.0,2247760364565.9663,27395.94406080508
Germany,1998,SOx,2132.57411506,Germany,1998,82047195.0,2247760364565.9663,27395.94406080508
Germany,1999,NOx,4295.40618914,Germany,1999,82100243.0,2213873468586.8774,26965.49227737216
Germany,1999,SOx,1780.31322764,Germany,1999,82100243.0,2213873468586.8774,26965.49227737216
Germany,2000,NOx,4168.97844258,Germany,2000,82211508.0,1966980701145.1023,23925.855990199118
Germany,2000,SOx,1480.06927582,Germany,2000,82211508.0,1966980701145.1023,23925.855990199118
Germany,2001,NOx,4056.8189533,Germany,2001,82349925.0,1966381496641.7344,23878.36414716509
Germany,2001,SOx,1445.1862851199999,Germany,2001,82349925.0,1966381496641.7344,23878.36414716509
Germany,2002,NOx,3959.8654637199998,Germany,2002,82488495.0,2102350798305.886,25486.59420087475
Germany,2002,SOx,1333.71165666,Germany,2002,82488495.0,2102350798305.886,25486.59420087475
Germany,2003,NOx,3846.80182334,Germany,2003,82534176.0,2534715518349.014,30711.102251133085
Germany,2003,SOx,1290.08655478,Germany,2003,82534176.0,2534715518349.014,30711.102251133085
Germany,2004,NOx,3754.57931042,Germany,2004,82516260.0,2852317768061.784,34566.73591437353
Germany,2004,SOx,1229.38871396,Germany,2004,82516260.0,2852317768061.784,34566.73591437353
Germany,2005,NOx,3717.80777022,Germany,2005,82469422.0,2893393187361.866,35084.43635462689
Germany,2005,SOx,1185.4023486600001,Germany,2005,82469422.0,2893393187361.866,35084.43635462689
Germany,2006,NOx,3880.59158408,Germany,2006,82376451.0,3046308753670.584,36980.33499489538
Germany,2006,SOx,1086.49464352,Germany,2006,82376451.0,3046308753670.584,36980.33499489538
Germany,2007,NOx,3798.57989554,Germany,2007,82266372.0,3484056680854.913,42350.92172114887
Germany,2007,SOx,1064.21503992,Germany,2007,82266372.0,3484056680854.913,42350.92172114887
Germany,2008,NOx,3740.83380804,Germany,2008,82110097.0,3808786022312.499,46386.329592479946
Germany,2008,SOx,1056.17671674,Germany,2008,82110097.0,3808786022312.499,46386.329592479946
Germany,2009,NOx,3463.0797872000003,Germany,2009,81902307.0,3479800820863.279,42487.21371014957
Germany,2009,SOx,929.5584786,Germany,2009,81902307.0,3479800820863.279,42487.21371014957
Germany,2010,NOx,3490.64509178,Germany,2010,81776930.0,3468154343000.007,42409.93569946936
Germany,2010,SOx,900.23067614,Germany,2010,81776930.0,3468154343000.007,42409.93569946936
Germany,2011,NOx,3427.8640096,Germany,2011,80274983.0,3824828563521.408,47646.58204314298
Germany,2011,SOx,852.36093282,Germany,2011,80274983.0,3824828563521.408,47646.58204314298
Germany,2012,NOx,3432.6046529,Germany,2012,80425823.0,3597896500945.313,44735.58823197014
Germany,2012,SOx,841.460262,Germany,2012,80425823.0,3597896500945.313,44735.58823197014
Germany,2013,NOx,3414.15107276,Germany,2013,80645605.0,3808086291482.364,47220.010209885135
Germany,2013,SOx,811.88724098,Germany,2013,80645605.0,3808086291482.364,47220.010209885135
Germany,2014,NOx,3253.35270782,Germany,2014,80982500.0,3965800686309.79,48971.082472259935
Germany,2014,SOx,762.00340466,Germany,2014,80982500.0,3965800686309.79,48971.082472259935
Germany,2015,NOx,3218.14183456,Germany,2015,81686611.0,3423568450957.0293,41911.01098510537
Germany,2015,SOx,703.08765396,Germany,2015,81686611.0,3423568450957.0293,41911.01098510537
Germany,2016,NOx,3254.75086996,Germany,2016,82348669.0,3537784107980.553,42961.035690577504
Germany,2016,SOx,655.95420712,Germany,2016,82348669.0,3537784107980.553,42961.035690577504
Germany,2017,NOx,3060.80672546,Germany,2017,82657002.0,3763092263752.948,45526.599957653285
Germany,2017,SOx,637.37917454,Germany,2017,82657002.0,3763092263752.948,45526.599957653285
Germany,2018,NOx,2866.75642758,Germany,2018,82905782.0,4052008447223.5264,48874.85950284536
Germany,2018,SOx,608.1500235999999,Germany,2018,82905782.0,4052008447223.5264,48874.85950284536
Germany,2019,NOx,2642.29233466,Germany,2019,83092962.0,3957208055215.68,47623.86560748285
Germany,2019,SOx,535.33377954,Germany,2019,83092962.0,3957208055215.68,47623.86560748285
Germany,2020,NOx,2224.41219618,Germany,2020,83160871.0,3940142541354.0967,47379.76519454801
Germany,2020,SOx,489.70322136,Germany,2020,83160871.0,3940142541354.0967,47379.76519454801
Germany,2021,NOx,2236.08368386,Germany,2021,83196078.0,4348297440387.527,52265.65416205709
Germany,2021,SOx,511.66112888000004,Germany,2021,83196078.0,4348297440387.527,52265.65416205709
Germany,2022,NOx,2262.05993272,Germany,2022,83797985.0,4163596357879.3936,49686.11545825826
