country,year,sectorName,Population,GDP_USD,gdp_per_capita,NOx,SOx
Germany,1990,Adipic acid production,79433029.0,1778162195860.0654,22385.677825027487,0.0907878,
Germany,1990,Agriculture other (please specify in the IIR),79433029.0,1778162195860.0654,22385.677825027487,7.87741e-05,
Germany,1990,Agriculture/Forestry/Fishing: National fishing,79433029.0,1778162195860.0654,22385.677825027487,0.38163,0.185788
Germany,1990,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,79433029.0,1778162195860.0654,22385.677825027487,64.2882,5.7577
Germany,1990,Agriculture/Forestry/Fishing: Stationary,79433029.0,1778162195860.0654,22385.677825027487,6.11248,51.9042
Germany,1990,Aluminium production,79433029.0,1778162195860.0654,22385.677825027487,0.740251,4.81163
Germany,1990,Ammonia production,79433029.0,1778162195860.0654,22385.677825027487,2.70466,
Germany,1990,Animal manure applied to soils,79433029.0,1778162195860.0654,22385.677825027487,45.9399,
Germany,1990,Cement production,79433029.0,1778162195860.0654,22385.677825027487,37.5793,8.88973
Germany,1990,Chemical industry: Other (please specify in the IIR),79433029.0,1778162195860.0654,22385.677825027487,,53.9285
Germany,1990,Commercial/Institutional: Mobile,79433029.0,1778162195860.0654,22385.677825027487,10.439,0.534238
Germany,1990,Commercial/Institutional: Stationary,79433029.0,1778162195860.0654,22385.677825027487,47.3609,360.292
Germany,1990,Copper production,79433029.0,1778162195860.0654,22385.677825027487,,2.9376
Germany,1990,Cremation,79433029.0,1778162195860.0654,22385.677825027487,0.139687,0.0191329
Germany,1990,Domestic aviation LTO (civil),79433029.0,1778162195860.0654,22385.677825027487,2.59655,0.174471
Germany,1990,Domestic aviation cruise (civil),79433029.0,1778162195860.0654,22385.677825027487,7.08305,0.406776
Germany,1990,Forest fires,79433029.0,1778162195860.0654,22385.677825027487,0.225516,0.0541238
Germany,1990,Fugitive emission from solid fuels: Solid fuel transformation,79433029.0,1778162195860.0654,22385.677825027487,0.35,38.1868
Germany,1990,"Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",79433029.0,1778162195860.0654,22385.677825027487,0.0671528,0.00504
Germany,1990,Fugitive emissions oil: Refining and storage,79433029.0,1778162195860.0654,22385.677825027487,0.238043,5.17992
Germany,1990,Glass production,79433029.0,1778162195860.0654,22385.677825027487,30.8982,13.518
Germany,1990,Inorganic N-fertilizers (includes also urea application),79433029.0,1778162195860.0654,22385.677825027487,86.5346,
Germany,1990,International aviation LTO (civil),79433029.0,1778162195860.0654,22385.677825027487,3.65948,0.243199
Germany,1990,International aviation cruise (civil),79433029.0,1778162195860.0654,22385.677825027487,47.3919,2.97942
Germany,1990,International maritime navigation,79433029.0,1778162195860.0654,22385.677825027487,139.186,107.63
Germany,1990,Iron and steel production,79433029.0,1778162195860.0654,22385.677825027487,4.6049,9.47861
Germany,1990,Lead production,79433029.0,1778162195860.0654,22385.677825027487,,0.71545
Germany,1990,Lime production,79433029.0,1778162195860.0654,22385.677825027487,9.50491,1.48674
Germany,1990,Manufacture of solid fuels and other energy industries,79433029.0,1778162195860.0654,22385.677825027487,107.23,538.698
Germany,1990,Manure management - Broilers,79433029.0,1778162195860.0654,22385.677825027487,0.00559719,
Germany,1990,Manure management - Dairy cattle,79433029.0,1778162195860.0654,22385.677825027487,0.892061,
Germany,1990,Manure management - Goats,79433029.0,1778162195860.0654,22385.677825027487,0.00228047,
Germany,1990,Manure management - Horses,79433029.0,1778162195860.0654,22385.677825027487,0.231757,
Germany,1990,Manure management - Laying hens,79433029.0,1778162195860.0654,22385.677825027487,0.0142349,
Germany,1990,Manure management - Non-dairy cattle,79433029.0,1778162195860.0654,22385.677825027487,0.842685,
Germany,1990,Manure management - Other animals (please specify in the IIR),79433029.0,1778162195860.0654,22385.677825027487,0.0076906,
Germany,1990,Manure management - Other poultry,79433029.0,1778162195860.0654,22385.677825027487,0.00282119,
Germany,1990,Manure management - Sheep,79433029.0,1778162195860.0654,22385.677825027487,0.0400321,
Germany,1990,Manure management - Swine,79433029.0,1778162195860.0654,22385.677825027487,0.360377,
Germany,1990,Manure management - Turkeys,79433029.0,1778162195860.0654,22385.677825027487,0.00342668,
Germany,1990,Mobile combustion in manufacturing industries and construction (please specify in the IIR),79433029.0,1778162195860.0654,22385.677825027487,34.6541,2.6625
Germany,1990,National navigation (shipping),79433029.0,1778162195860.0654,22385.677825027487,53.2464,10.873
Germany,1990,Nickel production,79433029.0,1778162195860.0654,22385.677825027487,,0.015696
Germany,1990,Nitric acid production,79433029.0,1778162195860.0654,22385.677825027487,11.3009,
Germany,1990,Open burning of waste,79433029.0,1778162195860.0654,22385.677825027487,0.595324,0.0129418
Germany,1990,Other metal production (please specify in the IIR),79433029.0,1778162195860.0654,22385.677825027487,,25.0194
Germany,1990,Other mineral products (please specify in the IIR),79433029.0,1778162195860.0654,22385.677825027487,,17.4048
Germany,1990,Other natural emissions (please specify in the IIR),79433029.0,1778162195860.0654,22385.677825027487,1.21825,
Germany,1990,Other organic fertilisers applied to soils (including compost),79433029.0,1778162195860.0654,22385.677825027487,0.428476,
Germany,1990,Other product use (please specify in the IIR),79433029.0,1778162195860.0654,22385.677825027487,0.310201,0.0545687
Germany,1990,Other stationary (including military),79433029.0,1778162195860.0654,22385.677825027487,5.48938,65.8244
