country,year,pollutantName,value,Population,GDP_USD,gdp_per_capita
Germany,1990,NOx,3041.1406323041,79433029.0,1778162195860.0654,22385.677825027487
Germany,1990,SOx,5571.881122559999,79433029.0,1778162195860.0654,22385.677825027487
Germany,1991,NOx,2790.960169594,80013896.0,1875792575132.587,23443.33508185362
Germany,1991,SOx,4058.59716748,80013896.0,1875792575132.587,23443.33508185362
Germany,1992,NOx,2618.465184783,80624598.0,2141377582968.0647,26559.85438796315
Germany,1992,SOx,3313.4457191,80624598.0,2141377582968.0647,26559.85438796315
Germany,1993,NOx,2547.193157412,81156363.0,2078954217437.596,25616.65087724047
Germany,1993,SOx,3002.14574934,81156363.0,2078954217437.596,25616.65087724047
Germany,1994,NOx,2409.952559723,81438348.0,2215282632276.7266,27201.959355520405
Germany,1994,SOx,2507.90121298,81438348.0,2215282632276.7266,27201.959355520405
Germany,1995,NOx,2354.158216232,81678051.0,2593053091306.128,31747.244939844702
Germany,1995,SOx,1834.8058996,81678051.0,2593053091306.128,31747.244939844702
Germany,1996,NOx,2269.00013963,81914831.0,2506576553158.305,30599.78910483628
Germany,1996,SOx,1561.2170167,81914831.0,2506576553158.305,30599.78910483628
Germany,1997,NOx,2205.85745878,82034771.0,2218790886532.822,27046.95654642373
Germany,1997,SOx,1317.38090235,82034771.0,2218790886532.822,27046.95654642373
Germany,1998,NOx,2173.37760134,82047195.0,2247760364565.9663,27395.94406080508
Germany,1998,SOx,1066.2870575299999,82047195.0,2247760364565.9663,27395.94406080508
Germany,1999,NOx,2147.70309457,82100243.0,2213873468586.8774,26965.49227737216
Germany,1999,SOx,890.15661382,82100243.0,2213873468586.8774,26965.49227737216
Germany,2000,NOx,2084.48922129,82211508.0,1966980701145.1023,23925.855990199118
Germany,2000,SOx,740.03463791,82211508.0,1966980701145.1023,23925.855990199118
Germany,2001,NOx,2028.4094766500002,82349925.0,1966381496641.7344,23878.36414716509
Germany,2001,SOx,722.59314256,82349925.0,1966381496641.7344,23878.36414716509
Germany,2002,NOx,1979.9327318599999,82488495.0,2102350798305.886,25486.59420087475
Germany,2002,SOx,666.85582833,82488495.0,2102350798305.886,25486.59420087475
Germany,2003,NOx,1923.40091167,82534176.0,2534715518349.014,30711.102251133085
Germany,2003,SOx,645.04327739,82534176.0,2534715518349.014,30711.102251133085
Germany,2004,NOx,1877.28965521,82516260.0,2852317768061.784,34566.73591437353
Germany,2004,SOx,614.69435698,82516260.0,2852317768061.784,34566.73591437353
Germany,2005,NOx,1858.90388511,82469422.0,2893393187361.866,35084.43635462689
Germany,2005,SOx,592.7011743300001,82469422.0,2893393187361.866,35084.43635462689
Germany,2006,NOx,1940.29579204,82376451.0,3046308753670.584,36980.33499489538
Germany,2006,SOx,543.24732176,82376451.0,3046308753670.584,36980.33499489538
Germany,2007,NOx,1899.28994777,82266372.0,3484056680854.913,42350.92172114887
Germany,2007,SOx,532.10751996,82266372.0,3484056680854.913,42350.92172114887
Germany,2008,NOx,1870.41690402,82110097.0,3808786022312.499,46386.329592479946
Germany,2008,SOx,528.08835837,82110097.0,3808786022312.499,46386.329592479946
Germany,2009,NOx,1731.5398936000001,81902307.0,3479800820863.279,42487.21371014957
Germany,2009,SOx,464.7792393,81902307.0,3479800820863.279,42487.21371014957
Germany,2010,NOx,1745.32254589,81776930.0,3468154343000.007,42409.93569946936
Germany,2010,SOx,450.11533807,81776930.0,3468154343000.007,42409.93569946936
Germany,2011,NOx,1713.9320048,80274983.0,3824828563521.408,47646.58204314298
Germany,2011,SOx,426.18046641,80274983.0,3824828563521.408,47646.58204314298
Germany,2012,NOx,1716.30232645,80425823.0,3597896500945.313,44735.58823197014
Germany,2012,SOx,420.730131,80425823.0,3597896500945.313,44735.58823197014
Germany,2013,NOx,1707.07553638,80645605.0,3808086291482.364,47220.010209885135
