country,year,Population,GDP_USD,gdp_per_capita,NOx,SOx
Germany,1990,79433029.0,1778162195860.0654,22385.677825027487,3041.1406323041,5571.881122559999
Germany,1991,80013896.0,1875792575132.587,23443.33508185362,2790.960169594,4058.59716748
Germany,1992,80624598.0,2141377582968.0647,26559.85438796315,2618.465184783,3313.4457191
Germany,1993,81156363.0,2078954217437.596,25616.65087724047,2547.193157412,3002.14574934
Germany,1994,81438348.0,2215282632276.7266,27201.959355520405,2409.952559723,2507.90121298
Germany,1995,81678051.0,2593053091306.128,31747.244939844702,2354.158216232,1834.8058996
Germany,1996,81914831.0,2506576553158.305,30599.78910483628,2269.00013963,1561.2170167
Germany,1997,82034771.0,2218790886532.822,27046.95654642373,2205.85745878,1317.38090235
Germany,1998,82047195.0,2247760364565.9663,27395.94406080508,2173.37760134,1066.2870575299999
Germany,1999,82100243.0,2213873468586.8774,26965.49227737216,2147.70309457,890.15661382
Germany,2000,82211508.0,1966980701145.1023,23925.855990199118,2084.48922129,740.03463791
Germany,2001,82349925.0,1966381496641.7344,23878.36414716509,2028.4094766500002,722.59314256
Germany,2002,82488495.0,2102350798305.886,25486.59420087475,1979.9327318599999,666.85582833
Germany,2003,82534176.0,2534715518349.014,30711.102251133085,1923.40091167,645.04327739
Germany,2004,82516260.0,2852317768061.784,34566.73591437353,1877.28965521,614.69435698
Germany,2005,82469422.0,2893393187361.866,35084.43635462689,1858.90388511,592.7011743300001
Germany,2006,82376451.0,3046308753670.584,36980.33499489538,1940.29579204,543.24732176
Germany,2007,82266372.0,3484056680854.913,42350.92172114887,1899.28994777,532.10751996
Germany,2008,82110097.0,3808786022312.499,46386.329592479946,1870.41690402,528.08835837
Germany,2009,81902307.0,3479800820863.279,42487.21371014957,1731.5398936000001,464.7792393
Germany,2010,81776930.0,3468154343000.007,42409.93569946936,1745.32254589,450.11533807
Germany,2011,80274983.0,3824828563521.408,47646.58204314298,1713.9320048,426.18046641
Germany,2012,80425823.0,3597896500945.313,44735.58823197014,1716.30232645,420.730131
Germany,2013,80645605.0,3808086291482.364,47220.010209885135,1707.07553638,405.94362049
Germany,2014,80982500.0,3965800686309.79,48971.082472259935,1626.67635391,381.00170233
Germany,2015,81686611.0,3423568450957.0293,41911.01098510537,1609.07091728,351.54382698
Germany,2016,82348669.0,3537784107980.553,42961.035690577504,1627.37543498,327.97710356
Germany,2017,82657002.0,3763092263752.948,45526.599957653285,1530.40336273,318.68958727
Germany,2018,82905782.0,4052008447223.5264,48874.85950284536,1433.37821379,304.0750118
Germany,2019,83092962.0,3957208055215.68,47623.86560748285,1321.14616733,267.66688977
Germany,2020,83160871.0,3940142541354.0967,47379.76519454801,1112.20609809,244.85161068
Germany,2021,83196078.0,4348297440387.527,52265.65416205709,1118.04184193,255.83056444000002
Germany,2022,83797985.0,4163596357879.3936,49686.11545825826,1131.02996636,255.66484947
Germany,2023,83901923.0,4525703903627.531,53940.40734474621,1043.73614005,225.92586083
Greece,1990,10196792.0,96529587274.29063,9466.662385021744,601.050823107,667.2312021324
Greece,1991,10319927.0,103680863712.84352,10046.666387547462,584.644858307,646.5998695604999
Greece,1992,10399061.0,114608178405.4344,11021.012224607048,618.818790674,679.5063908245
Greece,1993,10460415.0,107295704518.43044,10257.308578907285,642.0256417960001,698.7826517540001
